,character,consonant,vowel,tone,segment1,segment2,mlabel,slabel,mlabel2,slabel2,freq,consonant1,vowel1,tone1,consonant2,vowel2,tone2
1930,穖,j,i,3,禾,幾,r,r,regular,regular,rare,h,e,2,j,i,3
1931,蟣,j,i,3,虫,幾,r,r,regular,regular,mid,ch,ong,2,j,i,3
1932,譏,j,i,1,言,幾,r,r,regular,regular,low,y,an,2,j,i,3
1933,饑,j,i,1,飠,幾,r,r,regular,regular,low,sh,i,2,j,i,3
1934,渡,d,u,4,氵,度,r,r,regular,regular,high,sh,ui,3,d,u,4
1935,鍍,d,u,4,釒,度,r,r,regular,regular,rare,j,in,1,d,u,4
1936,慷,k,ang,1,忄,康,r,r,regular,regular,high,x,in,1,k,ang,1
1937,漮,k,ang,1,氵,康,r,r,regular,regular,rare,sh,ui,3,k,ang,1
1938,糠,k,ang,1,米,康,r,r,regular,regular,high,m,i,3,k,ang,1
1939,鱇,k,ang,1,魚,康,r,r,regular,regular,low,y,u,2,k,ang,1
1940,傭,y,ong,1,亻,庸,r,r,regular,regular,mid,r,en,2,y,ong,1
1941,墉,y,ong,1,土,庸,r,r,regular,regular,mid,t,u,3,y,ong,1
1942,慵,y,ong,1,忄,庸,r,r,regular,regular,high,x,in,1,y,ong,1
1943,鏞,y,ong,1,釒,庸,r,r,regular,regular,mid,j,in,1,y,ong,1
1944,鱅,y,ong,2,魚,庸,r,r,regular,regular,low,y,u,2,y,ong,1
1945,壙,k,uang,4,土,廣,r,r,rhyming,rhyming,rare,t,u,3,g,uang,3
1946,擴,k,uo,4,扌,廣,r,r,radical,radical,low,sh,ou,3,g,uang,3
1947,曠,k,uang,4,日,廣,r,r,rhyming,rhyming,low,r,i,4,g,uang,3
1948,櫎,g,uang,4,木,廣,r,r,regular,regular,rare,m,u,4,g,uang,3
1949,獷,g,uang,3,犭,廣,r,r,regular,regular,rare,q,uan,3,g,uang,3
1950,礦,k,uang,4,石,廣,r,r,rhyming,rhyming,mid,sh,i,2,g,uang,3
1951,穬,g,ong,3,禾,廣,r,r,alliterating,alliterating,rare,h,e,2,g,uang,3
1952,纊,k,uang,4,糸,廣,r,r,rhyming,rhyming,mid,m,i,4,g,uang,3
1953,鑛,k,uang,4,釒,廣,r,r,rhyming,rhyming,mid,j,in,1,g,uang,3
1954,唌,x,ian,2,口,延,r,l,radical,radical,low,k,ou,3,y,an,2
1955,埏,y,an,2,土,延,r,r,regular,regular,low,t,u,3,y,an,2
1956,挻,sh,an,1,扌,延,r,l,rhyming,alliterating,mid,sh,ou,3,y,an,2
1957,脠,sh,an,1,月,延,r,r,rhyming,rhyming,rare,y,ue,4,y,an,2
1958,梴,ch,an,1,木,延,r,l,rhyming,radical,low,m,u,4,y,an,2
1959,涎,x,ian,2,氵,延,r,l,radical,radical,high,sh,ui,3,y,an,2
1960,硟,ch,an,4,石,延,r,l,rhyming,radical,rare,sh,i,2,y,an,2
1961,蜒,y,an,2,虫,延,r,r,regular,regular,high,ch,ong,2,y,an,2
1962,誕,d,an,4,言,延,r,r,rhyming,rhyming,low,y,an,2,y,an,2
1963,鋋,ch,an,2,釒,延,r,l,rhyming,radical,low,j,in,1,y,an,2
1964,侹,t,ing,3,亻,廷,r,r,regular,regular,low,r,en,2,t,ing,2
1965,娗,d,ing,4,女,廷,r,r,rhyming,rhyming,low,n,v,3,t,ing,2
1966,挺,t,ing,3,扌,廷,r,r,regular,regular,high,sh,ou,3,t,ing,2
1967,梃,t,ing,3,木,廷,r,r,regular,regular,mid,m,u,4,t,ing,2
1968,珽,t,ing,3,王,廷,r,r,regular,regular,mid,w,ang,2,t,ing,2
1969,綎,t,ing,1,糸,廷,r,r,regular,regular,mid,m,i,4,t,ing,2
1970,艇,t,ing,3,舟,廷,r,r,regular,regular,high,zh,ou,1,t,ing,2
1971,蜓,t,ing,2,虫,廷,r,r,regular,regular,high,ch,ong,2,t,ing,2
1972,鋌,t,ing,3,釒,廷,r,r,regular,regular,mid,j,in,1,t,ing,2
1973,健,j,ian,4,亻,建,r,r,regular,regular,high,r,en,2,j,ian,4
1974,楗,j,ian,4,木,建,r,r,regular,regular,low,m,u,4,j,ian,4
1975,犍,j,ian,1,牜,建,r,r,regular,regular,mid,n,iu,2,j,ian,4
1976,腱,j,ian,4,肉,建,r,r,regular,regular,mid,r,ou,4,j,ian,4
1977,鍵,j,ian,4,釒,建,r,r,regular,regular,mid,j,in,1,j,ian,4
1978,鞬,j,ian,1,革,建,r,r,regular,regular,mid,g,e,2,j,ian,4
1979,媕,0,an,1,女,弇,r,r,rhyming,rhyming,low,n,v,3,y,an,3
1980,揜,y,an,3,扌,弇,r,r,regular,regular,low,sh,ou,3,y,an,3
1981,渰,y,an,3,氵,弇,r,r,regular,regular,mid,sh,ui,3,y,an,3
1982,鞥,y,i,4,革,弇,r,r,alliterating,alliterating,low,g,e,2,y,an,3
1983,黭,y,an,1,黑,弇,r,r,regular,regular,rare,h,ei,1,y,an,3
1984,侙,ch,i,4,亻,式,r,r,rhyming,rhyming,rare,r,en,2,sh,i,4
1985,拭,sh,i,4,扌,式,r,r,regular,regular,high,sh,ou,3,sh,i,4
1986,弑,sh,i,4,殺,式,r,r,regular,regular,high,sh,a,1,sh,i,4
1987,試,sh,i,4,言,式,r,r,regular,regular,mid,y,an,2,sh,i,4
1988,軾,sh,i,4,車,式,r,r,regular,regular,high,ch,e,1,sh,i,4
1989,弜,j,iang,4,弓,弓,r,r,radical,radical,rare,g,ong,1,g,ong,1
1990,躬,g,ong,1,身,弓,r,r,regular,regular,high,sh,en,1,g,ong,1
1991,矧,sh,en,3,矢,引,r,l,radical,alliterating,mid,sh,i,3,y,in,3
1992,紖,y,in,3,糸,引,r,r,regular,regular,mid,m,i,4,y,in,3
1993,蚓,y,in,3,虫,引,r,r,regular,regular,high,ch,ong,2,y,in,3
1994,鈏,y,in,3,釒,引,r,r,regular,regular,rare,j,in,1,y,in,3
1995,靷,y,in,3,革,引,r,r,regular,regular,rare,g,e,2,y,in,3
1996,佛,f,o,2,亻,弗,r,r,alliterating,alliterating,high,r,en,2,f,u,2
1997,咈,f,u,2,口,弗,r,r,regular,regular,mid,k,ou,3,f,u,2
1998,彿,f,u,2,彳,弗,r,r,regular,regular,high,ch,i,4,f,u,2
1999,怫,f,u,2,忄,弗,r,r,regular,regular,mid,x,in,1,f,u,2
2000,拂,f,u,2,扌,弗,r,r,regular,regular,high,sh,ou,3,f,u,2
2001,柫,f,u,2,木,弗,r,r,regular,regular,low,m,u,4,f,u,2
2002,沸,f,ei,4,氵,弗,r,r,alliterating,alliterating,high,sh,ui,3,f,u,2
2003,炥,f,u,2,火,弗,r,r,regular,regular,rare,h,uo,3,f,u,2
2004,狒,f,ei,4,犭,弗,r,r,alliterating,alliterating,mid,q,uan,3,f,u,2
2005,紼,f,u,2,糸,弗,r,r,regular,regular,rare,m,i,4,f,u,2
2006,鮄,f,u,2,魚,弗,r,r,regular,regular,rare,y,u,2,f,u,2
2007,俤,t,i,4,亻,弟,r,r,rhyming,rhyming,rare,r,en,2,d,i,4
2008,娣,d,i,4,女,弟,r,r,regular,regular,high,n,v,3,d,i,4
2009,悌,t,i,4,忄,弟,r,r,rhyming,rhyming,mid,x,in,1,d,i,4
2010,梯,t,i,1,木,弟,r,r,rhyming,rhyming,high,m,u,4,d,i,4
2011,涕,t,i,4,氵,弟,r,r,rhyming,rhyming,high,sh,ui,3,d,i,4
2012,睇,d,i,4,目,弟,r,r,regular,regular,mid,m,u,4,d,i,4
2013,綈,t,i,2,糸,弟,r,r,rhyming,rhyming,mid,m,i,4,d,i,4
2014,銻,t,i,1,釒,弟,r,r,rhyming,rhyming,low,j,in,1,d,i,4
2015,鮷,t,i,2,魚,弟,r,r,rhyming,rhyming,rare,y,u,2,d,i,4
2016,嫋,n,iao,3,女,弱,r,r,radical,radical,mid,n,v,3,r,uo,4
2017,愵,n,i,4,忄,弱,r,l,radical,radical,low,x,in,1,r,uo,4
2018,搦,n,uo,4,扌,弱,r,r,rhyming,rhyming,mid,sh,ou,3,r,uo,4
2019,溺,n,i,4,氵,弱,r,l,radical,radical,high,sh,ui,3,r,uo,4
2020,鰯,r,uo,4,魚,弱,r,r,regular,regular,rare,y,u,2,r,uo,4
2021,娽,l,u,4,女,彔,r,r,regular,regular,rare,n,v,3,l,u,4
2022,淥,l,u,4,氵,彔,r,r,regular,regular,mid,sh,ui,3,l,u,4
2023,睩,l,u,4,目,彔,r,r,regular,regular,low,m,u,4,l,u,4
2024,碌,l,u,4,石,彔,r,r,regular,regular,high,sh,i,2,l,u,4
2025,祿,l,u,4,礻,彔,r,r,regular,regular,low,sh,i,4,l,u,4
2026,綠,l,v,4,糸,彔,r,r,alliterating,alliterating,mid,m,i,4,l,u,4
2027,錄,l,u,4,釒,彔,r,r,regular,regular,mid,j,in,1,l,u,4
2028,喙,h,ui,4,口,彖,r,l,radical,radical,mid,k,ou,3,t,uan,4
2029,掾,y,uan,4,扌,彖,r,r,rhyming,rhyming,mid,sh,ou,3,t,uan,4
2030,椽,ch,uan,2,木,彖,r,r,rhyming,rhyming,mid,m,u,4,t,uan,4
2031,瑑,zh,uan,4,王,彖,r,r,rhyming,rhyming,low,w,ang,2,t,uan,4
2032,緣,y,uan,2,糸,彖,r,r,rhyming,rhyming,mid,m,i,4,t,uan,4
2033,蝝,y,uan,2,虫,彖,r,l,rhyming,radical,rare,ch,ong,2,t,uan,4
2034,嘒,h,ui,4,口,彗,r,r,regular,regular,rare,k,ou,3,h,ui,4
2035,槥,h,ui,4,木,彗,r,r,regular,regular,rare,m,u,4,h,ui,4
2036,轊,w,ei,4,車,彗,r,r,radical,radical,rare,ch,e,1,h,ui,4
2037,鏏,w,ei,4,釒,彗,r,r,radical,radical,rare,j,in,1,h,ui,4
2038,彫,d,iao,1,周,彡,l,r,radical,radical,low,zh,ou,1,sh,an,1
2039,彭,p,eng,2,壴,彡,r,l,radical,radical,high,zh,u,3,sh,an,1
2040,形,x,ing,2,开,彡,l,r,radical,radical,high,k,ai,1,sh,an,1
2041,影,y,ing,3,景,彡,l,l,rhyming,rhyming,high,j,ing,3,sh,an,1
2042,杉,sh,an,1,木,彡,r,r,regular,regular,high,m,u,4,sh,an,1
2043,彬,b,in,1,棼,彡,l,l,radical,radical,high,f,en,2,sh,an,1
2044,彰,zh,ang,1,章,彡,l,l,regular,regular,high,zh,ang,1,sh,an,1
2045,耏,0,er,2,而,彡,l,l,regular,regular,low,0,er,2,sh,an,1
2046,衫,sh,an,1,衤,彡,r,r,regular,regular,high,y,i,1,sh,an,1
2047,彩,c,ai,3,采,彡,l,l,regular,regular,high,c,ai,3,sh,an,1
2048,髟,b,iao,1,長,彡,l,l,radical,radical,mid,ch,ang,2,sh,an,1
2049,樅,c,ong,1,木,從,r,r,regular,regular,mid,m,u,4,c,ong,2
2050,縱,z,ong,4,糸,從,r,r,rhyming,rhyming,mid,m,i,4,c,ong,2
2051,緃,z,ong,1,糸,從,r,r,rhyming,rhyming,rare,m,i,4,c,ong,2
2052,豵,z,ong,1,豕,從,r,r,rhyming,rhyming,rare,sh,i,3,c,ong,2
2053,鏦,c,ong,1,釒,從,r,r,regular,regular,mid,j,in,1,c,ong,2
2054,佖,b,i,4,亻,必,r,r,regular,regular,low,r,en,2,b,i,4
2055,柲,b,i,4,木,必,r,r,regular,regular,low,m,u,4,b,i,4
2056,泌,m,i,4,氵,必,r,r,rhyming,rhyming,high,sh,ui,3,b,i,4
2057,珌,b,i,4,王,必,r,r,regular,regular,low,w,ang,2,b,i,4
2058,祕,m,i,4,礻,必,r,l,rhyming,rhyming,mid,sh,i,4,b,i,4
2059,飶,b,i,4,飠,必,r,r,regular,regular,low,sh,i,2,b,i,4
2060,駜,b,i,4,馬,必,r,r,regular,regular,rare,m,a,3,b,i,4
2061,鮅,b,i,4,魚,必,r,r,regular,regular,rare,y,u,2,b,i,4
2062,唸,n,ian,4,口,念,r,r,regular,regular,mid,k,ou,3,n,ian,4
2063,捻,n,ian,3,扌,念,r,r,regular,regular,high,sh,ou,3,n,ian,4
2064,棯,r,en,3,木,念,r,r,radical,radical,rare,m,u,4,n,ian,4
2065,淰,n,ian,3,氵,念,r,r,regular,regular,mid,sh,ui,3,n,ian,4
2066,稔,r,en,3,禾,念,r,l,radical,radical,mid,h,e,2,n,ian,4
2067,諗,sh,en,3,言,念,r,r,radical,radical,mid,y,an,2,n,ian,4
2068,鯰,n,ian,2,魚,念,r,r,regular,regular,mid,y,u,2,n,ian,4
2069,偲,s,i,1,亻,思,r,r,regular,regular,mid,r,en,2,s,i,1
2070,緦,s,i,1,糸,思,r,r,regular,regular,mid,m,i,4,s,i,1
2071,諰,x,i,3,言,思,r,r,rhyming,rhyming,low,y,an,2,s,i,1
2072,鰓,s,ai,1,魚,思,r,r,alliterating,alliterating,mid,y,u,2,s,i,1
2073,幒,zh,ong,1,巾,悤,r,r,rhyming,rhyming,low,j,in,1,c,ong,1
2074,熜,z,ong,3,火,悤,r,r,rhyming,rhyming,mid,h,uo,3,c,ong,1
2075,璁,c,ong,1,王,悤,r,r,regular,regular,mid,w,ang,2,c,ong,1
2076,總,z,ong,3,糸,悤,r,r,rhyming,rhyming,mid,m,i,4,c,ong,1
2077,聰,c,ong,1,耳,悤,r,r,regular,regular,mid,0,er,3,c,ong,1
2078,鏓,c,ong,1,釒,悤,r,r,regular,regular,low,j,in,1,c,ong,1
2079,驄,c,ong,1,馬,悤,r,r,regular,regular,mid,m,a,3,c,ong,1
2080,橞,h,ui,4,木,惠,r,r,regular,regular,low,m,u,4,h,ui,4
2081,潓,h,ui,4,氵,惠,r,r,regular,regular,rare,sh,ui,3,h,ui,4
2082,穗,s,ui,4,禾,惠,r,r,rhyming,rhyming,high,h,e,2,h,ui,4
2083,繐,s,ui,4,糸,惠,r,r,rhyming,rhyming,low,m,i,4,h,ui,4
2084,蟪,h,ui,4,虫,惠,r,r,regular,regular,mid,ch,ong,2,h,ui,4
2085,韢,h,ui,4,韋,惠,r,r,regular,regular,rare,w,ei,2,h,ui,4
2086,億,y,i,4,亻,意,r,r,regular,regular,low,r,en,2,y,i,4
2087,噫,y,i,1,口,意,r,r,regular,regular,high,k,ou,3,y,i,4
2088,憶,y,i,4,忄,意,r,r,regular,regular,mid,x,in,1,y,i,4
2089,檍,y,i,4,木,意,r,r,regular,regular,low,m,u,4,y,i,4
2090,澺,y,i,4,氵,意,r,r,regular,regular,rare,sh,ui,3,y,i,4
2091,臆,y,i,4,肉,意,r,r,regular,regular,high,r,ou,4,y,i,4
2092,僾,0,ai,4,亻,愛,r,r,regular,regular,low,r,en,2,0,ai,4
2093,曖,0,ai,4,日,愛,r,r,regular,regular,low,r,i,4,0,ai,4
2094,瞹,0,ai,4,目,愛,r,r,regular,regular,low,m,u,4,0,ai,4
2095,優,y,ou,1,亻,憂,r,r,regular,regular,mid,r,en,2,y,ou,1
2096,嚘,y,ou,1,口,憂,r,r,regular,regular,low,k,ou,3,y,ou,1
2097,櫌,y,ou,1,木,憂,r,r,regular,regular,rare,m,u,4,y,ou,1
2098,瀀,y,ou,1,氵,憂,r,r,regular,regular,rare,sh,ui,3,y,ou,1
2099,戢,j,i,2,咠,戈,l,l,rhyming,rhyming,mid,q,i,4,g,e,1
2100,戰,zh,an,4,單,戈,l,l,rhyming,rhyming,mid,d,an,1,g,e,1
2101,戭,y,an,3,寅,戈,l,l,alliterating,alliterating,rare,y,in,2,g,e,1
2102,戩,j,ian,3,晉,戈,l,l,alliterating,alliterating,low,j,in,4,g,e,1
2103,戡,k,an,1,甚,戈,l,r,radical,radical,mid,sh,en,2,g,e,1
2104,戣,k,ui,2,癸,戈,l,l,rhyming,rhyming,rare,g,ui,3,g,e,1
2105,戮,l,u,4,翏,戈,l,l,alliterating,alliterating,high,l,iu,4,g,e,1
2106,戳,ch,uo,1,翟,戈,l,r,radical,radical,high,d,i,2,g,e,1
2107,戠,sh,i,4,音,戈,l,r,radical,radical,rare,y,in,1,g,e,1
2108,泧,y,ue,4,氵,戉,r,r,regular,regular,rare,sh,ui,3,y,ue,4
2109,狘,y,ue,4,犭,戉,r,r,regular,regular,low,q,uan,3,y,ue,4
2110,眓,h,uo,4,目,戉,r,l,radical,radical,low,m,u,4,y,ue,4
2111,鉞,y,ue,4,釒,戉,r,r,regular,regular,low,j,in,1,y,ue,4
2112,俄,0,e,2,亻,我,r,r,radical,radical,high,r,en,2,w,o,3
2113,哦,0,e,2,口,我,r,r,radical,radical,high,k,ou,3,w,o,3
2114,娥,0,e,2,女,我,r,r,radical,radical,high,n,v,3,w,o,3
2115,峨,0,e,2,山,我,r,r,radical,radical,high,sh,an,1,w,o,3
2116,硪,0,e,2,石,我,r,r,radical,radical,mid,sh,i,2,w,o,3
2117,蛾,0,e,2,虫,我,r,r,radical,radical,high,ch,ong,2,w,o,3
2118,誐,0,e,2,言,我,r,r,radical,radical,low,y,an,2,w,o,3
2119,餓,0,e,4,飠,我,r,r,radical,radical,mid,sh,i,2,w,o,3
2120,騀,0,e,2,馬,我,r,r,radical,radical,rare,m,a,3,w,o,3
2121,悈,j,ie,4,忄,戒,r,r,regular,regular,rare,x,in,1,j,ie,4
2122,械,x,ie,4,木,戒,r,r,rhyming,rhyming,high,m,u,4,j,ie,4
2123,祴,g,ai,1,礻,戒,r,r,radical,radical,rare,sh,i,4,j,ie,4
2124,誡,j,ie,4,言,戒,r,r,regular,regular,mid,y,an,2,j,ie,4
2125,俴,j,ian,4,亻,戔,r,r,regular,regular,rare,r,en,2,j,ian,1
2126,帴,sh,a,1,巾,戔,r,r,radical,radical,rare,j,in,1,j,ian,1
2127,棧,zh,an,4,木,戔,r,r,radical,radical,low,m,u,4,j,ian,1
2128,殘,c,an,2,歹,戔,r,r,radical,radical,mid,d,ai,3,j,ian,1
2129,淺,q,ian,3,氵,戔,r,r,rhyming,rhyming,low,sh,ui,3,j,ian,1
2130,牋,j,ian,1,片,戔,r,r,regular,regular,low,p,ian,4,j,ian,1
2131,琖,zh,an,3,王,戔,r,r,radical,radical,rare,w,ang,2,j,ian,1
2132,綫,x,ian,4,糸,戔,r,r,rhyming,rhyming,low,m,i,4,j,ian,1
2133,諓,j,ian,4,言,戔,r,r,regular,regular,rare,y,an,2,j,ian,1
2134,賤,j,ian,4,貝,戔,r,r,regular,regular,mid,b,ei,4,j,ian,1
2135,醆,zh,an,3,酉,戔,r,r,radical,radical,rare,y,ou,3,j,ian,1
2136,錢,q,ian,2,釒,戔,r,r,rhyming,rhyming,mid,j,in,1,j,ian,1
2137,餞,j,ian,4,飠,戔,r,r,regular,regular,high,sh,i,2,j,ian,1
2138,域,y,u,4,土,或,r,r,radical,radical,high,t,u,3,h,uo,4
2139,棫,y,u,4,木,或,r,l,radical,rhyming,mid,m,u,4,h,uo,4
2140,淢,y,u,4,氵,或,r,r,radical,radical,rare,sh,ui,3,h,uo,4
2141,聝,g,uo,2,耳,或,r,r,rhyming,rhyming,rare,0,er,3,h,uo,4
2142,蜮,y,u,4,虫,或,r,r,radical,radical,mid,ch,ong,2,h,uo,4
2143,馘,g,uo,2,首,或,r,r,rhyming,rhyming,mid,sh,ou,3,h,uo,4
2144,幟,zh,i,4,巾,戠,r,r,rhyming,rhyming,low,j,in,1,sh,i,4
2145,樴,zh,i,2,木,戠,r,r,rhyming,rhyming,rare,m,u,4,sh,i,4
2146,熾,ch,i,4,火,戠,r,r,rhyming,rhyming,low,h,uo,3,sh,i,4
2147,織,zh,i,1,糸,戠,r,r,rhyming,rhyming,mid,m,i,4,sh,i,4
2148,職,zh,i,2,耳,戠,r,r,rhyming,rhyming,mid,0,er,3,sh,i,4
2149,識,sh,i,2,言,戠,r,r,regular,regular,mid,y,an,2,sh,i,4
2150,唳,l,i,4,口,戻,r,r,regular,regular,mid,k,ou,3,l,i,4
2151,捩,l,ie,4,扌,戻,r,r,alliterating,alliterating,mid,sh,ou,3,l,i,4
2152,涙,l,ei,4,氵,戻,r,r,alliterating,alliterating,low,sh,ui,3,l,i,4
2153,綟,l,i,4,糸,戻,r,r,regular,regular,low,m,i,4,l,i,4
2154,偏,p,ian,1,亻,扁,r,r,rhyming,rhyming,high,r,en,2,b,ian,3
2155,媥,p,ian,1,女,扁,r,r,rhyming,rhyming,low,n,v,3,b,ian,3
2156,徧,b,ian,4,彳,扁,r,r,regular,regular,low,ch,i,4,b,ian,3
2157,揙,b,ian,4,扌,扁,r,r,regular,regular,low,sh,ou,3,b,ian,3
2158,楄,p,ian,2,木,扁,r,r,rhyming,rhyming,low,m,u,4,b,ian,3
2159,牑,b,ian,1,片,扁,r,r,regular,regular,rare,p,ian,4,b,ian,3
2160,編,b,ian,1,糸,扁,r,r,regular,regular,mid,m,i,4,b,ian,3
2161,蝙,b,ian,1,虫,扁,r,r,regular,regular,high,ch,ong,2,b,ian,3
2162,褊,b,ian,3,衤,扁,r,r,regular,regular,mid,y,i,1,b,ian,3
2163,諞,p,ian,3,言,扁,r,r,rhyming,rhyming,mid,y,an,2,b,ian,3
2164,騙,p,ian,4,馬,扁,r,r,rhyming,rhyming,mid,m,a,3,b,ian,3
2165,鯿,b,ian,1,魚,扁,r,r,regular,regular,mid,y,u,2,b,ian,3
2166,伎,j,i,4,亻,支,r,r,rhyming,rhyming,high,r,en,2,zh,i,1
2167,攲,q,i,1,奇,支,l,l,regular,regular,low,q,i,2,zh,i,1
2168,妓,j,i,4,女,支,r,r,rhyming,rhyming,high,n,v,3,zh,i,1
2169,岐,q,i,2,山,支,r,r,rhyming,rhyming,high,sh,an,1,zh,i,1
2170,忮,zh,i,4,忄,支,r,r,regular,regular,mid,x,in,1,zh,i,1
2171,技,j,i,4,扌,支,r,r,rhyming,rhyming,high,sh,ou,3,zh,i,1
2172,枝,zh,i,1,木,支,r,r,regular,regular,high,m,u,4,zh,i,1
2173,汥,zh,i,1,氵,支,r,r,regular,regular,low,sh,ui,3,zh,i,1
2174,翄,ch,i,4,羽,支,r,r,rhyming,rhyming,rare,y,u,3,zh,i,1
2175,肢,zh,i,1,肉,支,r,r,regular,regular,high,r,ou,4,zh,i,1
2176,蚑,q,i,2,虫,支,r,r,rhyming,rhyming,mid,ch,ong,2,zh,i,1
2177,豉,ch,i,3,豆,支,r,r,rhyming,rhyming,mid,d,ou,4,zh,i,1
2178,馶,zh,i,1,馬,支,r,r,regular,regular,rare,m,a,3,zh,i,1
2179,敍,x,u,4,余,攴,l,r,rhyming,rhyming,low,y,u,2,p,u,1
2180,敺,q,u,1,區,攴,l,l,regular,regular,rare,q,u,1,p,u,1
2181,敆,h,e,2,合,攴,l,l,regular,regular,rare,h,e,2,p,u,1
2182,敽,j,iao,3,喬,攴,l,l,rhyming,rhyming,rare,q,iao,2,p,u,1
2183,敤,k,e,3,果,攴,l,l,radical,radical,rare,g,uo,3,p,u,1
2184,敄,w,u,4,矛,攴,l,r,radical,rhyming,rare,m,ao,2,p,u,1
2185,斀,zh,uo,2,蜀,攴,l,l,radical,radical,low,sh,u,3,p,u,1
2186,敱,0,ai,2,豈,攴,l,l,radical,radical,rare,q,i,3,p,u,1
2187,鈙,q,in,2,釒,攴,l,l,radical,rhyming,rare,j,in,1,p,u,1
2188,敲,q,iao,1,高,攴,l,l,radical,radical,high,g,ao,1,p,u,1
2189,攷,k,ao,3,丂,攵,l,l,regular,regular,rare,k,ao,3,s,ui,1
2190,收,sh,ou,1,丩,攵,l,l,radical,radical,high,j,iu,1,s,ui,1
2191,效,x,iao,4,交,攵,l,l,rhyming,rhyming,high,j,iao,1,s,ui,1
2192,敒,zh,en,4,伸,攵,l,l,rhyming,rhyming,rare,sh,en,1,s,ui,1
2193,斂,l,ian,3,僉,攵,l,l,rhyming,rhyming,low,q,ian,1,s,ui,1
2194,敓,d,uo,2,兌,攵,l,l,alliterating,alliterating,rare,d,ui,4,s,ui,1
2195,敟,d,ian,3,典,攵,l,l,regular,regular,rare,d,ian,3,s,ui,1
2196,攽,b,an,1,分,攵,l,l,radical,radical,low,f,en,1,s,ui,1
2197,故,g,u,4,古,攵,l,l,regular,regular,high,g,u,3,s,ui,1
2198,啟,q,i,3,启,攵,l,l,regular,regular,mid,q,i,3,s,ui,1
2199,敔,y,u,3,吾,攵,l,l,rhyming,rhyming,low,w,u,2,s,ui,1
2200,孜,z,i,1,子,攵,l,l,regular,regular,high,z,i,3,s,ui,1
2201,敞,ch,ang,3,尚,攵,l,l,rhyming,rhyming,high,sh,ang,4,s,ui,1
2202,攻,g,ong,1,工,攵,l,l,regular,regular,high,g,ong,1,s,ui,1
2203,敜,n,ie,4,念,攵,l,r,alliterating,radical,rare,n,ian,4,s,ui,1
2204,放,f,ang,4,方,攵,l,l,regular,regular,high,f,ang,1,s,ui,1
2205,敷,f,u,1,旉,攵,l,l,regular,regular,high,f,u,1,s,ui,1
2206,敇,c,e,4,朿,攵,l,r,alliterating,radical,low,c,i,4,s,ui,1
2207,敕,ch,i,4,束,攵,l,l,radical,radical,high,sh,u,4,s,ui,1
2208,政,zh,eng,4,正,攵,l,l,regular,regular,high,zh,eng,4,s,ui,1
2209,敏,m,in,3,每,攵,l,l,alliterating,alliterating,high,m,ei,3,s,ui,1
2210,敃,m,in,3,民,攵,l,l,regular,regular,low,m,in,2,s,ui,1
2211,救,j,iu,4,求,攵,l,l,rhyming,rhyming,high,q,iu,2,s,ui,1
2212,畋,t,ian,2,田,攵,l,l,regular,regular,mid,t,ian,2,s,ui,1
2213,敉,m,i,3,米,攵,l,l,regular,regular,mid,m,i,3,s,ui,1
2214,赦,sh,e,4,赤,攵,l,r,radical,radical,high,ch,i,4,s,ui,1
2215,敶,zh,en,4,陣,攵,l,l,rhyming,rhyming,rare,ch,en,2,s,ui,1
2216,噭,j,iao,4,口,敫,r,r,regular,regular,low,k,ou,3,j,iao,4
2217,墽,q,iao,1,土,敫,r,r,rhyming,rhyming,rare,t,u,3,j,iao,4
2218,徼,j,iao,4,彳,敫,r,r,regular,regular,mid,ch,i,4,j,iao,4
2219,憿,j,iao,1,忄,敫,r,r,regular,regular,rare,x,in,1,j,iao,4
2220,檄,x,i,2,木,敫,r,l,radical,radical,high,m,u,4,j,iao,4
2221,激,j,i,1,氵,敫,r,l,alliterating,radical,high,sh,ui,3,j,iao,4
2222,璬,j,iao,3,王,敫,r,r,regular,regular,low,w,ang,2,j,iao,4
2223,皦,j,iao,3,白,敫,r,r,regular,regular,low,b,ai,2,j,iao,4
2224,汶,w,en,4,氵,文,r,r,regular,regular,high,sh,ui,3,w,en,2
2225,玟,m,in,2,王,文,r,r,radical,radical,high,w,ang,2,w,en,2
2226,紋,w,en,2,糸,文,r,r,regular,regular,mid,m,i,4,w,en,2
2227,蚊,w,en,2,虫,文,r,r,regular,regular,high,ch,ong,2,w,en,2
2228,馼,w,en,2,馬,文,r,r,regular,regular,rare,m,a,3,w,en,2
2229,斜,x,ie,2,余,斗,l,r,radical,radical,high,y,u,2,d,ou,3
2230,斠,j,iao,4,冓,斗,l,r,radical,radical,low,g,ou,4,d,ou,3
2231,抖,d,ou,3,扌,斗,r,r,regular,regular,high,sh,ou,3,d,ou,3
2232,枓,d,ou,3,木,斗,r,r,regular,regular,low,m,u,4,d,ou,3
2233,斟,zh,en,1,甚,斗,l,l,rhyming,rhyming,high,sh,en,2,d,ou,3
2234,斞,y,u,3,臾,斗,l,l,regular,regular,rare,y,u,2,d,ou,3
2235,蚪,d,ou,3,虫,斗,r,r,regular,regular,mid,ch,ong,2,d,ou,3
2236,斣,ch,u,4,蜀,斗,l,l,rhyming,rhyming,rare,sh,u,3,d,ou,3
2237,斛,h,u,2,角,斗,r,r,radical,radical,mid,j,iao,3,d,ou,3
2238,斯,s,i,1,其,斤,l,l,rhyming,rhyming,high,q,i,2,j,in,1
